state_abbr,year,seat,class,type,dem_candidate,rep_candidate,incumbent,dem_pct,rep_pct,margin,dem_votes,rep_votes,vote_margin,total_votes,wikipedia_url
MO,2022,2,3,,Trudy Busch Valentine,Eric Schmitt,None,42.18,55.43,13.26,872694,1146966,274272,2069130,https://en.wikipedia.org/wiki/2022_United_States_Senate_election_in_Missouri
MO,2018,1,1,,Claire McCaskill,Josh Hawley,D,45.57,51.38,5.81,1112935,1254927,141992,2442289,https://en.wikipedia.org/wiki/2018_United_States_Senate_election_in_Missouri
MO,2016,2,3,,Jason Kander,Roy Blunt,R,46.39,49.18,2.79,1300200,1378458,78258,2802641,https://en.wikipedia.org/wiki/2016_United_States_Senate_election_in_Missouri
MO,2012,1,1,,Claire McCaskill,Todd Akin,D,54.81,39.11,-15.70,1494125,1066159,-427966,2725793,https://en.wikipedia.org/wiki/2012_United_States_Senate_election_in_Missouri
MS,2024,1,1,,Ty Pinkins,Roger Wicker,R,37.19,62.81,25.62,451981,763420,311439,1215401,https://en.wikipedia.org/wiki/2024_United_States_Senate_election_in_Mississippi
MS,2020,2,2,,Mike Espy,Cindy Hyde-Smith,R,44.13,54.11,9.98,578691,709511,130820,1311354,https://en.wikipedia.org/wiki/2020_United_States_Senate_election_in_Mississippi
MS,2018,1,1,,David Baria,Roger Wicker,R,39.47,58.49,19.02,369567,547619,178052,936215,https://en.wikipedia.org/wiki/2018_United_States_Senate_election_in_Mississippi
MS,2018,2,2,Special,Mike Espy,Cindy Hyde-Smith,R,46.37,53.63,7.27,420819,486769,65950,907588,https://en.wikipedia.org/wiki/2018_United_States_Senate_special_election_in_Mississippi
MS,2014,2,2,,Travis Childers,Thad Cochran,R,37.89,59.90,22.01,239439,378481,139042,631858,https://en.wikipedia.org/wiki/2014_United_States_Senate_election_in_Mississippi
MS,2012,1,1,,Albert Gore,Roger Wicker,R,40.55,57.16,16.60,503467,709626,206159,1241568,https://en.wikipedia.org/wiki/2012_United_States_Senate_election_in_Mississippi
MT,2024,1,1,,Jon Tester,Tim Sheehy,D,45.50,52.64,7.14,276305,319682,43377,607262,https://en.wikipedia.org/wiki/2024_United_States_Senate_election_in_Montana
MT,2020,2,2,,Steve Bullock,Steve Daines,R,44.99,55.01,10.02,272463,333174,60711,605637,https://en.wikipedia.org/wiki/2020_United_States_Senate_election_in_Montana
MT,2018,1,1,,Jon Tester,Matt Rosendale,D,50.33,46.78,-3.55,253876,235963,-17913,504384,https://en.wikipedia.org/wiki/2018_United_States_Senate_election_in_Montana
MT,2014,2,2,,Amanda Curtis,Steve Daines,None,40.07,57.79,17.72,148184,213709,65525,369826,https://en.wikipedia.org/wiki/2014_United_States_Senate_election_in_Montana
MT,2012,1,1,,Jon Tester,Denny Rehberg,D,48.58,44.86,-3.72,236123,218051,-18072,486066,https://en.wikipedia.org/wiki/2012_United_States_Senate_election_in_Montana
