state_name,year,type,dem_votes,rep_votes,oth_votes,total_votes,dem_seats_won,rep_seats_won,oth_seats_won,seats_up,total_seats,contests,uncontested,vote_missing_contests
Maine,2016,Senate,349518,361796,24365,735679,17.0,18.0,0.0,35,35,35,4,0
Maine,2018,House,324088,264282,26351,614721,89.0,57.0,5.0,151,151,151,27,0
Maine,2018,Senate,347752,268735,6099,622586,21.0,14.0,0.0,35,35,35,3,0
Maine,2020,House,392763,337856,29826,760445,80.0,67.0,4.0,151,151,151,42,0
Maine,2020,Senate,418361,369537,3479,791377,22.0,13.0,0.0,35,35,35,2,0
Maine,2022,House,323064,295258,25218,643540,82.0,67.0,2.0,151,151,151,38,0
Maine,2022,Senate,351606,313379,2373,667358,22.0,13.0,0.0,35,35,35,0,0
Maryland,2018,House,3099992,1500207,70704,4670903,99.0,42.0,0.0,141,141,67,17,0
Maryland,2018,Senate,1420123,742827,35291,2198241,32.0,15.0,0.0,47,47,47,15,0
Maryland,2022,House,2579509,1208567,13622,3801698,102.0,39.0,0.0,141,141,71,27,0
Maryland,2022,Senate,1120350,692101,19239,1831690,34.0,13.0,0.0,47,47,47,20,0
Massachusetts,2016,House,2053768,649117,60941,2763826,125.0,35.0,0.0,160,160,160,126,0
Massachusetts,2016,Senate,2056319,635030,40393,2731742,34.0,6.0,0.0,40,40,40,27,0
Massachusetts,2018,House,1732694,564591,46132,2343417,127.0,32.0,1.0,160,160,160,114,0
Massachusetts,2018,Senate,1783686,534715,18412,2336813,34.0,6.0,0.0,40,40,40,26,0
Massachusetts,2020,House,2239316,686101,54108,2979525,129.0,30.0,1.0,160,160,160,125,0
Massachusetts,2020,Senate,2469745,395343,23469,2888557,37.0,3.0,0.0,40,40,40,33,0
Massachusetts,2022,House,1507257,541179,41600,2090036,133.0,26.0,1.0,160,160,160,118,0
Massachusetts,2022,Senate,1539792,602112,62929,2204833,37.0,3.0,0.0,40,40,40,22,0
Michigan,2016,House,2260633,2263633,28667,4552933,47.0,63.0,0.0,110,110,110,0,0
Michigan,2018,House,2128281,1935174,0,4063455,52.0,58.0,0.0,110,110,110,0,0
Michigan,2018,Senate,2081391,1973098,0,4054489,16.0,22.0,0.0,38,38,38,0,0
Michigan,2020,House,2667279,2653603,0,5320882,52.0,58.0,0.0,110,110,110,1,0
